i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
0,297.4059709817293,0.9431835074740536,0.0,64.00173800716793,0.0684758749994216,10,mac,phase-19,without
1,294.011382014694,0.9324180197543812,0.0,63.2712227690473,0.0676942920035799,10,mac,phase-19,without
2,296.82434397453113,0.9413389547272478,0.0,63.87657192792039,0.0683419589986442,10,mac,phase-19,without
3,295.5819955572358,0.937399011847616,0.0,63.609218661088235,0.0680559160027769,10,mac,phase-19,without
4,296.9808780833277,0.941835381847681,0.0,63.91025805394978,0.0683780000035767,10,mac,phase-19,without
5,289.32739877137334,0.9175633894663556,0.0,62.263229999502705,0.0666158339954563,10,mac,phase-19,without
6,302.28069548595926,0.9586430483188196,0.0,65.05077827877705,0.0695982499964884,10,mac,phase-19,without
7,274.08865489071906,0.8692357386952241,0.0,58.98385369717592,0.0631072079995647,10,mac,phase-19,without
8,296.4859330936766,0.9402657295982494,0.0,63.80374593702406,0.0682640419981908,10,mac,phase-19,without
9,296.35961479116827,0.939865127891348,0.0,63.776562249770045,0.0682349579947185,10,mac,phase-19,without
10,294.26564294805104,0.9332243745096194,0.0,63.32593969886703,0.0677528340020217,10,mac,phase-19,without
11,294.8192170865159,0.9349799613118638,0.0,63.44506880330504,0.0678802910042577,10,mac,phase-19,without
12,298.78404079959876,0.9475538727362968,0.0,64.29829850710586,0.068793167003605,10,mac,phase-19,without
13,298.6888503744389,0.9472519889550676,0.0,64.27781353623672,0.0687712500002817,10,mac,phase-19,without
14,297.15551036552364,0.942389204919545,0.0,63.94783890525484,0.0684182080003665,10,mac,phase-19,without
15,300.98587226643184,0.9545366885785584,0.0,64.77213243925932,0.0693001250037923,10,mac,phase-19,without
16,299.0323297879458,0.9483412882616924,0.0,64.35173027490056,0.0688503339988528,10,mac,phase-19,without
17,305.4248281977412,0.968614247314164,0.0,65.72739535346113,0.0703221669973572,10,mac,phase-19,without
18,270.1974922131386,0.8568954334542849,0.0,58.14647584154076,0.0622112919954815,10,mac,phase-19,without
19,305.92375154516304,0.970196516396485,0.0,65.83476361261862,0.0704370409948751,10,mac,phase-19,without
20,294.97846999628473,0.935485010748213,0.0,63.47934001505731,0.0679169579962035,10,mac,phase-19,without
21,294.30110968856326,0.9333368525631184,0.0,63.33357213821159,0.067760999998427,10,mac,phase-19,without
22,296.6591147588,0.9408149522308754,0.0,63.841014615666545,0.0683039159994223,10,mac,phase-19,without
23,297.9800016839759,0.9450039695493628,0.0,64.12526936227819,0.0686080419982317,10,mac,phase-19,without
24,284.32545261547966,0.9017003820629098,0.0,61.18681163998317,0.0654641670043929,10,mac,phase-19,without
25,296.21882492114406,0.9394186315315476,0.0,63.74626428249787,0.0682025420028367,10,mac,phase-19,without
