i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,1752.164765462704,1.455203942701051,0.0,470.5931113793921,0.5096037500006787
1,1752.202012438559,1.4552348769757186,0.0,470.60311510198864,0.5096145829993475
2,1764.2595163856147,1.46524884805238,0.0,473.8414967940299,0.5131214160028321
3,1763.508398158816,1.464625031030935,0.0,473.6397628758903,0.5129029589988932
4,1765.9374046561293,1.4666423640474469,0.0,474.29214086434365,0.5136094170011347
5,1760.7687938821498,1.4623497410448403,0.0,472.9039651210689,0.5121061660029227
6,1765.694572073473,1.4664406872767097,0.0,474.22692134682507,0.5135387909976998
7,1764.3100901710034,1.4652908504789472,0.0,473.85507980602137,0.5131361250023474
8,1775.6295069892121,1.4746918270923448,0.0,476.8952274476585,0.5164282909972826
9,1764.9157997040215,1.4657939029988665,0.0,474.01776013115614,0.513312290997419
10,1772.2548267340983,1.4718890952320791,0.0,475.9888621831194,0.5154467909997038
11,1770.4399845493308,1.4703818365799761,0.0,475.50143528855637,0.514918958000635
12,1792.9889963648277,1.489109191189951,0.0,481.5576063964049,0.5214771659993858
13,1773.5619506066694,1.4729746848127268,0.0,476.3399270500066,0.5158269580024353
14,1766.3829484104258,1.467012396044824,0.0,474.4118041664046,0.5137390000018058
15,1765.8111919482,1.4665375421529436,0.0,474.2582428930508,0.5135727089982538
16,1776.7056947757285,1.4755856201538733,0.0,477.1842679356696,0.5167412920018251
17,1754.7735669287372,1.457370598630862,0.0,471.2937783617849,0.5103624999974272
18,1759.0244366000718,1.4609010213556912,0.0,472.4354689288666,0.51159883299988
19,1762.2113003611191,1.4635477682834566,0.0,473.2913907933023,0.5125257080035226
20,1769.5408755153906,1.4696351105660201,0.0,475.2599542782705,0.5146574589998636
21,1767.2834912096225,1.4677603128262782,0.0,474.6536702546616,0.51400091600226
22,1759.7719789945058,1.461521868584878,0.0,472.63624245668706,0.5118162500002654
23,1761.1276686756316,1.4626477929316861,0.0,473.0003510369309,0.5122105419977743
24,1753.0491242413011,1.455938418366093,0.0,470.83063079388955,0.5098609590022534
25,1756.1411462268331,1.4585063975156318,0.0,471.6610802329528,0.5107602499992936
26,1760.1513356895587,1.4618369310545798,0.0,472.7381293630822,0.5119265829998767
27,1762.0845134541207,1.463442469506433,0.0,473.2573386047053,0.5124888329992245
28,1777.3232973655327,1.4760985500685826,0.0,477.3501424755878,0.5169209170016984
29,1788.980811426612,1.4857803224441937,0.0,480.4810956376916,0.5203114159994584
